T_in_pri,T_in_sec,m_dot_pri,m_dot_sec
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
550,355,1500,1450
